
========== Training Begin ==========

** Initial learning rate: 0.000050 **

Epoch 6, Time 0.31915, Batch 9, Batch I/R Loss = 0.03973, Batch Direct Loss = 0.09157
Epoch 6, Time 0.23936, Batch 10, Batch I/R Loss = 0.05214, Batch Direct Loss = 0.11278

Epoch 6, Time 5.59105, Average I/R Loss = 0.03430, Average Direct Loss = 0.07593

Epoch 7, Time 1.20079, Batch 0, Batch I/R Loss = 0.06115, Batch Direct Loss = 0.13364
Epoch 7, Time 0.41689, Batch 1, Batch I/R Loss = 0.00895, Batch Direct Loss = 0.02043
Epoch 7, Time 0.41688, Batch 2, Batch I/R Loss = 0.02533, Batch Direct Loss = 0.05218
Epoch 7, Time 0.44581, Batch 3, Batch I/R Loss = 0.04625, Batch Direct Loss = 0.10061
Epoch 7, Time 0.35206, Batch 4, Batch I/R Loss = 0.08488, Batch Direct Loss = 0.18147
Epoch 7, Time 0.52160, Batch 5, Batch I/R Loss = 0.04713, Batch Direct Loss = 0.09912
Epoch 7, Time 0.33411, Batch 6, Batch I/R Loss = 0.05342, Batch Direct Loss = 0.11989
Epoch 7, Time 0.49867, Batch 7, Batch I/R Loss = 0.01236, Batch Direct Loss = 0.03024
Epoch 7, Time 0.31017, Batch 8, Batch I/R Loss = 0.05452, Batch Direct Loss = 0.12214
Epoch 7, Time 0.30818, Batch 9, Batch I/R Loss = 0.01977, Batch Direct Loss = 0.03341
Epoch 7, Time 0.23836, Batch 10, Batch I/R Loss = 0.03349, Batch Direct Loss = 0.07777

Epoch 7, Time 5.17117, Average I/R Loss = 0.04066, Average Direct Loss = 0.08826

Epoch 8, Time 1.21874, Batch 0, Batch I/R Loss = 0.00435, Batch Direct Loss = 0.00786
Epoch 8, Time 0.41688, Batch 1, Batch I/R Loss = 0.02614, Batch Direct Loss = 0.05611
Epoch 8, Time 0.42985, Batch 2, Batch I/R Loss = 0.04570, Batch Direct Loss = 0.09702
Epoch 8, Time 0.44880, Batch 3, Batch I/R Loss = 0.03390, Batch Direct Loss = 0.07516
Epoch 8, Time 0.41988, Batch 4, Batch I/R Loss = 0.03644, Batch Direct Loss = 0.07988
Epoch 8, Time 0.46675, Batch 5, Batch I/R Loss = 0.01203, Batch Direct Loss = 0.02757
Epoch 8, Time 0.40292, Batch 6, Batch I/R Loss = 0.03883, Batch Direct Loss = 0.08587
